set I:= 1..79;  #set of clusters																																																																														
set J:=	1..4;   #set of sites																																																																													
79	36	37	31	79																																																																											
;																																																																															
																																																																														
#distribution costs																																																																															
param B:																																																																															
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79 :=
1	42	64	63	43	45	42	38	46	41	44	43	40	37	38	39	38	38	38	42	37	32	36	38	42	37	44	34	49	34	30	35	34	34	33	31	40	32	32	36	34	32	32	37	30	31	33	36	28	31	37	30	32	34	52	27	35	27	53	34	25	32	43	41	34	32	34	34	49	34	51	33	30	37	38	47	27	74	29	44
2	43	65	63	44	46	43	39	47	42	45	43	41	38	39	40	39	39	39	43	38	33	37	39	43	38	45	35	50	35	31	36	34	35	34	32	41	33	33	37	34	33	33	38	31	32	34	37	29	32	38	31	33	34	53	28	36	28	53	34	26	33	43	42	34	33	35	34	50	35	52	34	31	38	39	48	28	75	30	45
3	42	59	58	38	40	36	33	41	35	39	37	34	32	33	34	33	33	33	36	32	31	34	33	36	32	39	29	43	33	28	34	33	34	32	30	39	31	31	34	33	31	31	36	29	30	33	35	27	30	35	28	33	32	50	28	34	28	52	34	27	34	45	40	36	24	38	38	52	28	43	36	34	41	40	49	31	69	27	39
4	91	108	107	87	87	84	82	90	84	88	85	83	81	82	82	82	81	81	85	80	79	83	81	85	80	87	78	91	82	77	82	80	81	79	77	86	79	79	83	81	79	79	84	77	73	75	83	75	78	84	77	75	81	99	70	82	71	100	76	69	74	87	88	76	74	78	77	92	78	93	76	72	81	81	90	71	117	75	88
;																																																																															
																																																																															
																																																																															
#setup costs																																																																															
param C: 																																																																														
	1	2	3	4	:=																																																																										
1	105	107	106	104																																																																											
2	105.1	107.1	106.1	104.1																																																																											
3	105.2	107.2	106.2	104.2																																																																											
4	105.3	107.3	106.3	104.3																																																																											
5	105.4	107.4	106.4	104.4																																																																											
6	105.5	107.5	106.5	104.5																																																																											
7	105.6	107.6	106.6	104.6																																																																											
8	105.7	107.7	106.7	104.7																																																																											
9	105.8	107.8	106.8	104.8																																																																											
10	105.9	107.9	106.9	104.9																																																																											
11	106	108	107	105																																																																											
12	106.1	108.1	107.1	105.1																																																																											
13	106.2	108.2	107.2	105.2																																																																											
14	106.3	108.3	107.3	105.3																																																																											
15	106.4	108.4	107.4	105.4																																																																											
16	106.5	108.5	107.5	105.5																																																																											
17	106.6	108.6	107.6	105.6																																																																											
18	106.7	108.7	107.7	105.7																																																																											
19	106.8	108.8	107.8	105.8																																																																											
20	106.9	108.9	107.9	105.9																																																																											
21	107	109	108	106																																																																											
22	107.1	109.1	108.1	106.1																																																																											
23	107.2	109.2	108.2	106.2																																																																											
24	107.3	109.3	108.3	106.3																																																																											
25	107.4	109.4	108.4	106.4																																																																											
26	107.5	109.5	108.5	106.5																																																																											
27	107.6	109.6	108.6	106.6																																																																											
28	107.7	109.7	108.7	106.7																																																																											
29	107.8	109.8	108.8	106.8																																																																											
30	107.9	109.9	108.9	106.9																																																																											
;																																																																															
																																																																															
#processing costs																																																																															
param h: 																																																																															
	1	2	3	4	:=																																																																										
1	0.00164	0.00163	0.00165	0.00162																																																																											
2	0.001641	0.001631	0.001651	0.001621																																																																											
3	0.001642	0.001632	0.001652	0.001622																																																																											
4	0.001643	0.001633	0.001653	0.001623																																																																											
5	0.001644	0.001634	0.001654	0.001624																																																																											
6	0.001645	0.001635	0.001655	0.001625																																																																											
7	0.001646	0.001636	0.001656	0.001626																																																																											
8	0.001647	0.001637	0.001657	0.001627																																																																											
9	0.001648	0.001638	0.001658	0.001628																																																																											
10	0.001649	0.001639	0.001659	0.001629																																																																											
11	0.00165	0.00164	0.00166	0.00163																																																																											
12	0.001651	0.001641	0.001661	0.001631																																																																											
13	0.001652	0.001642	0.001662	0.001632																																																																											
14	0.001653	0.001643	0.001663	0.001633																																																																											
15	0.001654	0.001644	0.001664	0.001634																																																																											
16	0.001655	0.001645	0.001665	0.001635																																																																											
17	0.001656	0.001646	0.001666	0.001636																																																																											
18	0.001657	0.001647	0.001667	0.001637																																																																											
19	0.001658	0.001648	0.001668	0.001638																																																																											
20	0.001659	0.001649	0.001669	0.001639																																																																											
21	0.00166	0.00165	0.00167	0.00164																																																																											
22	0.001661	0.001651	0.001671	0.001641																																																																											
23	0.001662	0.001652	0.001672	0.001642																																																																											
24	0.001663	0.001653	0.001673	0.001643																																																																											
25	0.001664	0.001654	0.001674	0.001644																																																																											
26	0.001665	0.001655	0.001675	0.001645																																																																											
27	0.001666	0.001656	0.001676	0.001646																																																																											
28	0.001667	0.001657	0.001677	0.001647																																																																											
29	0.001668	0.001658	0.001678	0.001648																																																																											
30	0.001669	0.001659	0.001679	0.001649																																																																											
																																																																															
;																																																																															

param G:=	23191.0; # collection truck costs																																																																														
param E:=	23191.0; # distribution truck costs																																																																														
param q:=	3255;   # capacity of truck	

																																																																											
param G:=	28722.8	; # collection truck 3 costs																																																																									
param E:=	28722.8	; # distribution truck 3 costs																																																																													
param q:=	3965	; #capacity of truck																																																																												

#plant capacities
param p:=																																																																															
1	3000																																																																													
2	3000																																																																														
3	3000																																																																														
4	3000																																																																													
;	
																																																																																
#piles capacities																																																																										
param pc: 																																																																														
	1	2	3	4	:=																																																																										
1	100	100	100	100																																																																											
2	100	100	100	100																																																																											
3	100	100	100	100																																																																											
4	100	100	100	100																																																																											
5	100	100	100	100																																																																											
6	100	100	100	100																																																																											
7	100	100	100	100																																																																											
8	100	100	100	100																																																																											
9	100	100	100	100																																																																											
10	100	100	100	100																																																																											
11	100	100	100	100																																																																											
12	100	100	100	100																																																																											
13	100	100	100	100																																																																											
14	100	100	100	100																																																																											
15	100	100	100	100																																																																											
16	100	100	100	100																																																																											
17	100	100	100	100																																																																											
18	100	100	100	100																																																																											
19	100	100	100	100																																																																											
20	100	100	100	100																																																																											
21	100	100	100	100																																																																											
22	100	100	100	100																																																																											
23	100	100	100	100																																																																											
24	100	100	100	100																																																																											
25	100	100	100	100																																																																											
26	100	100	100	100																																																																											
27	100	100	100	100																																																																											
28	100	100	100	100																																																																											
29	100	100	100	100																																																																											
30	100	100	100	100																																																																											
;																																																																																
																																																																										
																																																																															
param m:=	16;																																																																														
param alpha:=	0.6;																																																																														
param beta:=	6;																																																																														
param gamma:=	6;																																																																														
																																																																															
param WW [*,*]																																																																															
:	1	2	3	4	5	6	7	8	9	10	:=																																																																				
1	63	287	539	798	1050	1309	1561	1820	2072	2268																																																																					
2	77	350	658	966	1281	1589	1897	2212	2520	2758																																																																					
3	112	518	980	1442	1911	2373	2835	3297	3759	4116																																																																					
4	112	518	973	1435	1897	2359	2821	3276	3738	4095																																																																					
5	56	266	504	735	973	1211	1442	1680	1918	2100																																																																					
6	63	273	511	749	994	1232	1470	1715	1953	2135																																																																					
7	42	189	364	532	700	868	1043	1211	1379	1512																																																																					
8	28	105	203	294	385	483	574	665	763	833																																																																					
9	84	392	742	1099	1449	1799	2149	2506	2856	3122																																																																					
10	49	203	378	553	735	910	1085	1267	1442	1582																																																																					
11	77	343	644	945	1253	1554	1855	2163	2464	2695																																																																					
12	63	266	511	749	987	1225	1470	1708	1946	2128																																																																					
13	42	182	343	504	658	819	980	1141	1302	1421																																																																					
14	21	98	189	273	357	448	532	616	707	770																																																																					
15	35	161	308	455	595	742	882	1029	1169	1281																																																																					
16	35	168	315	462	609	749	896	1043	1190	1302																																																																					
17	28	133	252	364	483	595	714	833	945	1036																																																																					
18	35	161	301	448	588	728	875	1015	1155	1267																																																																					
19	21	77	147	217	280	350	413	483	553	602																																																																					
20	70	315	595	875	1155	1435	1715	1995	2275	2485																																																																					
21	35	147	280	413	546	679	812	945	1078	1176																																																																					
22	21	77	147	210	280	343	413	483	546	602																																																																					
23	56	238	448	658	875	1085	1295	1505	1715	1876																																																																					
24	21	98	189	280	364	455	546	630	721	784																																																																					
25	63	273	511	749	987	1232	1470	1708	1946	2135																																																																					
26	28	112	210	308	399	497	595	693	791	861																																																																					
27	91	413	777	1148	1512	1883	2247	2618	2982	3269																																																																					
28	7	21	42	56	77	91	112	126	140	154																																																																					
29	140	644	1225	1799	2380	2954	3535	4109	4690	5131																																																																					
30	28	126	238	357	469	581	693	805	917	1008																																																																					
31	21	70	133	196	259	322	385	448	511	560																																																																					
32	28	133	245	357	469	581	700	812	924	1015																																																																					
33	28	105	196	287	378	469	560	651	742	812																																																																					
34	35	147	280	413	546	679	805	938	1071	1169																																																																					
35	21	98	182	266	350	434	518	602	686	749																																																																					
36	7	35	63	91	119	147	175	203	231	252																																																																					
37	77	343	651	959	1260	1568	1876	2184	2485	2723																																																																					
38	35	140	266	392	518	644	770	896	1022	1120																																																																					
39	35	140	266	392	511	637	763	889	1008	1106																																																																					
40	63	287	539	791	1050	1302	1554	1813	2065	2261																																																																					
41	49	224	420	616	812	1008	1204	1400	1596	1743																																																																					
42	28	133	252	371	490	602	721	840	959	1050																																																																					
43	56	238	448	651	861	1071	1281	1491	1701	1862																																																																					
44	84	385	721	1064	1407	1750	2093	2429	2772	3038																																																																					
45	42	196	364	539	707	882	1050	1225	1393	1526																																																																					
46	35	140	259	378	497	616	742	861	980	1071																																																																					
47	49	231	441	644	847	1057	1260	1470	1673	1834																																																																					
48	84	378	714	1057	1393	1729	2072	2408	2744	3010																																																																					
49	21	98	182	266	343	427	511	595	679	742																																																																					
50	42	196	371	539	714	889	1064	1232	1407	1540																																																																					
51	84	392	749	1099	1456	1806	2156	2513	2863	3136																																																																					
52	42	203	378	553	728	910	1085	1260	1442	1575																																																																					
53	56	259	490	721	959	1190	1421	1652	1883	2058																																																																					
54	70	308	581	847	1120	1393	1666	1939	2212	2422																																																																					
55	252	1183	2240	3297	4361	5418	6482	7539	8603	9415																																																																					
56	28	105	203	294	392	483	574	672	763	833																																																																					
57	98	434	826	1218	1610	2002	2394	2779	3171	3472																																																																					
58	28	133	245	364	476	595	707	819	938	1022																																																																					
59	245	1148	2184	3220	4249	5285	6314	7350	8386	9177																																																																					
60	63	280	525	777	1022	1274	1519	1771	2016	2212																																																																					
61	35	147	273	399	525	651	784	910	1036	1134																																																																					
62	77	350	665	987	1302	1617	1932	2247	2562	2800																																																																					
63	182	854	1624	2387	3157	3927	4690	5460	6230	6818																																																																					
64	91	399	756	1113	1470	1827	2184	2541	2898	3171																																																																					
65	63	273	525	770	1015	1260	1505	1750	1995	2184																																																																					
66	35	168	315	462	609	756	903	1050	1197	1309																																																																					
67	77	336	637	938	1232	1533	1834	2135	2436	2660																																																																					
68	77	357	679	994	1316	1631	1953	2275	2590	2835																																																																					
69	210	980	1862	2737	3619	4501	5376	6258	7140	7812																																																																					
70	49	203	385	567	742	924	1106	1288	1463	1603																																																																					
71	182	840	1589	2345	3094	3850	4599	5355	6111	6685																																																																					
72	84	392	742	1085	1435	1785	2135	2478	2828	3094																																																																					
73	70	308	588	868	1141	1421	1701	1974	2254	2464																																																																					
74	126	560	1064	1568	2072	2576	3080	3584	4088	4473																																																																					
75	119	539	1029	1512	1995	2478	2968	3451	3934	4305																																																																					
76	196	903	1708	2520	3325	4137	4942	5754	6566	7182																																																																					
77	42	189	350	518	679	847	1008	1176	1344	1470																																																																					
78	315	1470	2786	4109	5432	6748	8071	9394	10710	11725																																																																					
79	7	35	63	91	126	154	182	210	238	259																																																																					
:	11	12	13	14	15	16	17	18	19	20	 :=																																																																				
1	2583	2842	3094	3346	3605	3857	4116	4368	4627	4914																																																																					
2	3143	3451	3759	4074	4382	4690	5005	5313	5621	5971																																																																					
3	4690	5152	5614	6076	6545	7007	7469	7931	8393	8918																																																																					
4	4662	5124	5586	6041	6503	6965	7427	7889	8351	8862																																																																					
5	2387	2625	2863	3094	3332	3570	3808	4039	4277	4543																																																																					
6	2436	2674	2919	3157	3395	3640	3878	4116	4361	4627																																																																					
7	1715	1890	2058	2226	2394	2569	2737	2905	3073	3262																																																																					
8	945	1036	1134	1225	1316	1414	1505	1596	1694	1799																																																																					
9	3556	3913	4263	4613	4963	5313	5670	6020	6370	6762																																																																					
10	1799	1974	2156	2331	2506	2688	2863	3038	3220	3416																																																																					
11	3073	3374	3682	3983	4284	4592	4893	5201	5502	5845																																																																					
12	2422	2667	2905	3143	3381	3619	3864	4102	4340	4606																																																																					
13	1624	1778	1939	2100	2261	2422	2583	2744	2898	3080																																																																					
14	875	966	1050	1134	1225	1309	1393	1484	1568	1666																																																																					
15	1463	1603	1750	1890	2037	2184	2324	2471	2611	2772																																																																					
16	1484	1631	1778	1925	2072	2219	2366	2513	2660	2821																																																																					
17	1183	1295	1414	1533	1645	1764	1876	1995	2114	2240																																																																					
18	1442	1582	1722	1869	2009	2149	2296	2436	2576	2737																																																																					
19	686	756	819	889	959	1022	1092	1162	1225	1302																																																																					
20	2828	3108	3388	3668	3948	4228	4508	4788	5068	5383																																																																					
21	1344	1477	1603	1736	1869	2002	2135	2268	2401	2548																																																																					
22	679	749	819	882	952	1015	1085	1148	1218	1295																																																																					
23	2142	2352	2562	2772	2982	3199	3409	3619	3829	4067																																																																					
24	896	987	1071	1162	1246	1337	1428	1512	1603	1701																																																																					
25	2429	2667	2905	3150	3388	3626	3864	4109	4347	4613																																																																					
26	980	1078	1176	1274	1372	1470	1561	1659	1757	1869																																																																					
27	3724	4088	4459	4823	5194	5558	5929	6293	6664	7077																																																																					
28	175	196	210	231	245	266	280	301	315	336																																																																					
29	5845	6419	7000	7574	8155	8729	9310	9884	10465	11109																																																																					
30	1141	1260	1372	1484	1596	1708	1820	1932	2044	2170																																																																					
31	637	700	763	826	889	952	1015	1078	1141	1211																																																																					
32	1155	1267	1379	1491	1610	1722	1834	1946	2058	2191																																																																					
33	924	1015	1106	1197	1288	1379	1477	1568	1659	1757																																																																					
34	1337	1463	1596	1729	1862	1995	2128	2254	2387	2534																																																																					
35	854	938	1022	1106	1190	1274	1365	1449	1533	1624																																																																					
36	287	315	343	371	399	427	455	483	511	539																																																																					
37	3101	3409	3710	4018	4326	4627	4935	5243	5551	5894																																																																					
38	1274	1400	1526	1652	1778	1897	2023	2149	2275	2415																																																																					
39	1260	1386	1505	1631	1757	1883	2002	2128	2254	2394																																																																					
40	2576	2828	3080	3339	3591	3843	4102	4354	4606	4893																																																																					
41	1988	2184	2380	2576	2772	2968	3164	3360	3556	3780																																																																					
42	1197	1309	1428	1547	1666	1785	1897	2016	2135	2268																																																																					
43	2121	2324	2534	2744	2954	3164	3374	3584	3794	4025																																																																					
44	3458	3794	4137	4480	4823	5166	5502	5845	6188	6573																																																																					
45	1736	1911	2079	2254	2422	2597	2765	2940	3108	3304																																																																					
46	1218	1344	1463	1582	1701	1820	1946	2065	2184	2317																																																																					
47	2086	2289	2499	2702	2905	3115	3318	3528	3731	3962																																																																					
48	3423	3766	4102	4438	4781	5117	5453	5796	6132	6510																																																																					
49	847	931	1015	1099	1176	1260	1344	1428	1512	1603																																																																					
50	1757	1925	2100	2275	2450	2618	2793	2968	3143	3332																																																																					
51	3570	3920	4277	4627	4984	5334	5684	6041	6391	6790																																																																					
52	1792	1967	2149	2324	2499	2681	2856	3031	3213	3409																																																																					
53	2345	2576	2807	3038	3276	3507	3738	3969	4200	4459																																																																					
54	2758	3031	3304	3570	3843	4116	4389	4662	4935	5243																																																																					
55	10724	11781	12845	13902	14966	16023	17087	18144	19208	20391																																																																					
56	952	1043	1141	1232	1323	1421	1512	1610	1701	1806																																																																					
57	3955	4347	4739	5131	5516	5908	6300	6692	7084	7518																																																																					
58	1169	1281	1400	1512	1631	1743	1855	1974	2086	2219																																																																					
59	10451	11480	12516	13552	14581	15617	16646	17682	18718	19873																																																																					
60	2520	2765	3017	3262	3514	3759	4011	4256	4508	4781																																																																					
61	1288	1414	1547	1673	1799	1925	2051	2177	2310	2450																																																																					
62	3192	3507	3822	4137	4452	4767	5082	5397	5712	6062																																																																					
63	7763	8533	9296	10066	10829	11599	12369	13132	13902	14763																																																																					
64	3612	3969	4326	4683	5040	5397	5754	6111	6468	6867																																																																					
65	2485	2730	2975	3220	3472	3717	3962	4207	4452	4725																																																																					
66	1491	1638	1785	1932	2079	2226	2373	2520	2667	2828																																																																					
67	3031	3332	3633	3934	4228	4529	4830	5131	5432	5768																																																																					
68	3227	3549	3871	4186	4508	4823	5145	5467	5782	6139																																																																					
69	8897	9772	10654	11536	12411	13293	14175	15050	15932	16919																																																																					
70	1827	2002	2184	2366	2548	2723	2905	3087	3269	3472																																																																					
71	7616	8365	9121	9870	10626	11375	12131	12880	13636	14476																																																																					
72	3528	3878	4221	4571	4921	5271	5614	5964	6314	6706																																																																					
73	2807	3087	3367	3640	3920	4200	4473	4753	5033	5341																																																																					
74	5096	5600	6104	6608	7112	7616	8120	8624	9121	9688																																																																					
75	4907	5390	5873	6356	6846	7329	7812	8295	8785	9324																																																																					
76	8183	8988	9800	10605	11417	12222	13034	13846	14651	15561																																																																					
77	1673	1834	2002	2163	2331	2499	2660	2828	2989	3178																																																																					
78	13356	14672	15995	17311	18634	19957	21273	22596	23919	25396																																																																					
79	301	329	357	385	413	441	476	504	532	567																																																																					
;																																																																															
																																																																															
param WP:=																																																																															
1	0.8																																																																														
2	3.75																																																																														
3	7.13																																																																														
4	10.51																																																																														
5	13.89																																																																														
6	17.27																																																																														
7	20.65																																																																														
8	24.03																																																																														
9	27.41																																																																														
10	30																																																																														
11	34.17																																																																														
12	37.55																																																																														
13	40.93																																																																														
14	44.31																																																																														
15	47.69																																																																														
16	51.07																																																																														
17	54.45																																																																														
18	57.83																																																																														
19	61.21																																																																														
20	65																																																																														
;																																																																															
