param Im:=	79;  #numero de clusters		
param Jm:=	4;   #numero de plantas		
param Km:=	12;  #numero de patrones		
param Tm:=	52;  #Numero de periodos		
param Dm:=	7;   #numero de días por semana		
param Rm:=	24;  #numero de pilas.  		
			
param F:=			
1	998868264
2	928934573
3	919241118
4	911168825;			
			
param A:			
	1	2	3	4:=	
72	3005	3098	3373	7375	
73	3779	3872	4147	8149	
74	3840	3933	4010	8209	
75	4775	4869	4963	9145	
76	2803	2896	3171	7194	
77	7512	7605	6968	11884	
78	2901	2995	2778	7608	
79	4541	4634	3997	8919	;		
			
param B:	
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79 :=
1	4230	6548	6387	4425	4595	4196	3879	4706	4159	4534	4316	4060	3806	3879	3983	3889	3841	3834	4261	3731	3212	3661	3826	4232	3757	4478	3483	4923	3451	2997	3550	3429	3513	3348	3150	4047	3238	3245	3635	3422	3214	3242	3762	3079	3107	3274	3706	2848	3162	3745	3005	3260	3363	5203	2755	3594	2792	5359	3360	2603	3177	4362	4166	3412	3186	3531	3435	4974	3504	5128	3315	3005	3779	3840	4775	2803	7512	2901	4541
2	4323	6641	6480	4518	4688	4289	3972	4799	4252	4628	4409	4153	3899	3972	4077	3982	3934	3927	4354	3824	3305	3754	3920	4325	3850	4571	3576	5016	3544	3090	3644	3522	3606	3441	3244	4140	3331	3339	3728	3515	3307	3335	3855	3172	3200	3368	3799	2941	3256	3838	3098	3353	3457	5296	2848	3687	2885	5452	3453	2696	3270	4455	4259	3505	3279	3625	3529	5068	3597	5221	3409	3098	3872	3933	4869	2896	7605	2995	4634
3	4260	6004	5843	3881	4051	3652	3335	4162	3615	3991	3772	3516	3262	3335	3440	3345	3297	3290	3717	3187	3088	3537	3283	3688	3213	3934	2939	4380	3327	2873	3427	3305	3390	3224	3027	3924	3114	3122	3512	3298	3090	3119	3639	2956	2999	3310	3582	2725	3039	3622	2881	3322	3240	5080	2810	3471	2822	5235	3443	2753	3408	4560	4042	3675	2503	3906	3860	5216	2822	4342	3683	3373	4147	4010	4963	3171	6968	2778	3997
4	9212	10919	10836	8797	8844	8568	8250	9089	8531	8905	8687	8432	8174	8252	8355	8324	8212	8175	8635	8102	8003	8453	8197	8602	8128	8846	7897	9292	8243	7796	8243	8096	8147	7999	7798	8700	8049	7962	8427	8213	8006	8039	8554	7857	7473	7657	8498	7663	7956	8546	7783	7624	8155	9994	7122	8388	7162	10150	7727	6952	7504	8876	8959	7771	7546	7891	7781	9344	7867	9487	7685	7375	8149	8209	9145	7194	11884	7608	8919

;			
			
param C:
	1	2	3	4	:=
1	50000	50000	50000	50000	
2	50000	50000	50000	50000	
3	50000	50000	50000	50000	
4	50000	50000	50000	50000	
5	50000	50000	50000	50000	
6	50000	50000	50000	50000	
7	50000	50000	50000	50000	
8	50000	50000	50000	50000	
9	50000	50000	50000	50000	
10	50000	50000	50000	50000	
11	50000	50000	50000	50000	
12	50000	50000	50000	50000	
13	50000	50000	50000	50000	
14	50000	50000	50000	50000	
15	50000	50000	50000	50000	
16	50000	50000	50000	50000	
17	50000	50000	50000	50000	
18	50000	50000	50000	50000	
19	50000	50000	50000	50000	
20	50000	50000	50000	50000	
21	50000	50000	50000	50000	
22	50000	50000	50000	50000	
23	50000	50000	50000	50000	
24	50000	50000	50000	50000	
;					

	
param G:=	21800000; #Camion 6	
param E:=	21800000; #Camion 6	
param q:=	3255;     #Camion 6	
param p:=			
1	137813
2	100000
3	103125
4	98438		
;			
			
param pc:			
	1	2	3	4	:=
1	5742	4167	4297	4102	
2	5742	4167	4297	4102	
3	5742	4167	4297	4102	
4	5742	4167	4297	4102	
5	5742	4167	4297	4102	
6	5742	4167	4297	4102	
7	5742	4167	4297	4102	
8	5742	4167	4297	4102	
9	5742	4167	4297	4102	
10	5742	4167	4297	4102	
11	5742	4167	4297	4102	
12	5742	4167	4297	4102	
13	5742	4167	4297	4102	
14	5742	4167	4297	4102	
15	5742	4167	4297	4102	
16	5742	4167	4297	4102	
17	5742	4167	4297	4102	
18	5742	4167	4297	4102	
19	5742	4167	4297	4102	
20	5742	4167	4297	4102	
21	5742	4167	4297	4102	
22	5742	4167	4297	4102	
23	5742	4167	4297	4102	
24	5742	4167	4297	4102	
;			
			
param W:=			
1	63
2	77
3	112
4	112
5	56
6	63
7	42
8	28
9	84
10	49
11	77
12	63
13	42
14	21
15	35
16	35
17	28
18	35
19	21
20	70
21	35
22	21
23	56
24	21
25	63
26	28
27	91
28	7
29	140
30	28
31	21
32	28
33	28
34	35
35	21
36	7
37	77
38	35
39	35
40	63
41	49
42	28
43	56
44	84
45	42
46	35
47	49
48	84
49	21
50	42
51	84
52	42
53	56
54	70
55	252
56	28
57	98
58	28
59	245
60	63
61	35
62	77
63	182
64	91
65	63
66	35
67	77
68	77
69	210
70	49
71	182
72	84
73	70
74	126
75	119
76	196
77	42
78	315
79	7
;		
;			
param m:=	24;		
			
param alpha:=	0.6;		
			
param beta:=	6;		
			
param gamma:=	6;		
			
param delta:=			
[1,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[2,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[3,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[4,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[5,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[6,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[7,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[8,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[9,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[10,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[11,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[12,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[13,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[14,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[15,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[16,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[17,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[18,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[19,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[20,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[21,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[22,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[23,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[24,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[25,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[26,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[27,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[28,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[29,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[30,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[31,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[32,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[33,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[34,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[35,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[36,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[37,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[38,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[39,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[40,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[41,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[42,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[43,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
7	1	0	0	1	0	0	0	
8	0	1	0	0	1	0	0	
9	1	0	1	0	0	1	0	
10	1	0	1	0	1	0	0	
11	0	1	0	1	0	1	0	
12	1	1	1	1	1	1	0	
[44,*,*]:								
	1	2	3	4	5	6	7:=	
1	1	0	0	0	0	0	0	
2	0	1	0	0	0	0	0	
3	0	0	1	0	0	0	0	
4	0	0	0	1	0	0	0	
5	0	0	0	0	1	0	0	
6	0	0	0	0	0	1	0	
